qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,0.5127730245197001,18.828596686587566,0.7140435706466502,100,1.8541909821014293,0.5098582835117131,4.0,4.0,2.1458090178985705,3.490141716488287,5.635950734386857,870.0330257415771
4.0,0.5217243720517454,18.828596686587566,0.7115306284131708,100,1.9194922907949823,0.506275894371473,4.0,4.0,2.0805077092050177,3.493724105628527,5.574231814833545,839.8146629333496
4.0,0.5305024956660996,18.828596686587566,0.7091571394192155,100,1.9846274002027497,0.5029039041381392,4.0,4.0,2.0153725997972503,3.4970960958618607,5.512468695659111,858.4780693054199
4.0,0.5391162730200141,18.828596686587566,0.7069204966375198,100,2.049599473828005,0.49973664093829445,4.0,4.0,1.950400526171995,3.5002633590617056,5.4506638852337,847.3644256591797
4.0,0.8276291844466934,28.493631430421857,0.7085090178695738,100,2.1091914896538264,0.50198499785365,4.0,4.0,1.8908085103461736,3.49801500214635,5.3888235124925234,611.4065647125244
4.0,0.8379562322054654,28.451347369404495,0.7102085548082453,100,2.1685878238493337,0.5043961589212483,4.0,4.0,1.8314121761506663,3.4956038410787516,5.327016017229418,688.5747909545898
4.0,0.8493133340572693,28.451347369404495,0.7120303952778688,100,2.227769368721805,0.5069872493967531,4.0,4.0,1.772230631278195,3.493012750603247,5.265243381881442,846.4632034301758
4.0,0.8604808314594945,28.451347369404495,0.7139695401409154,100,2.2867397583376996,0.5097524679767498,4.0,4.0,1.7132602416623004,3.4902475320232504,5.203507773685551,840.1055335998535
4.0,0.8714666600274036,28.451347369404495,0.7160211535783734,100,2.345502472501408,0.5126862543548703,4.0,4.0,1.654497527498592,3.48731374564513,5.1418112731437216,883.8348388671875
4.0,0.8822782182044421,28.451347369404495,0.7181805593075035,100,2.404060847343028,0.5157832761242158,4.0,4.0,1.595939152656972,3.484216723875784,5.080155876532756,859.6401214599609
4.0,0.9232464091755127,29.42094869818858,0.7208351768174236,100,2.461851909371853,0.5196033049868715,4.0,4.0,1.5381480906281468,3.4803966950131286,5.018544785641275,695.0409412384033
4.0,1.0291908110569405,32.43151279461735,0.7248087140112662,100,2.5176618536576356,0.5253476072864484,4.0,4.0,1.4823381463423644,3.4746523927135518,4.956990539055916,558.934211730957
4.0,1.0404923528754615,32.43151279461735,0.728854372760942,100,2.573258313728743,0.5312286315805574,4.0,4.0,1.426741686271257,3.468771368419443,4.895513054690699,929.8441410064697
4.0,1.051630374010586,32.43151279461735,0.732967983108124,100,2.62864441214091,0.5372419987287907,4.0,4.0,1.3713555878590902,3.4627580012712094,4.8341135891302995,1286.6454124450684
4.0,1.0626106126412742,32.43151279461735,0.7371455620205849,100,2.6838231605792995,0.5433835137190722,4.0,4.0,1.3161768394207005,3.456616486280928,4.772793325701628,1324.5527744293213
4.0,1.0734384803918893,32.43151279461735,0.7413833165656012,100,2.738797466241582,0.5496491559001923,4.0,4.0,1.2612025337584178,3.4503508440998076,4.711553377858225,1162.4770164489746
4.0,1.0841190877595506,32.43151279461735,0.7456776356232452,100,2.7935701377183015,0.5560350698489923,4.0,4.0,1.2064298622816985,3.4439649301510076,4.6503947924327065,882.0269107818604
4.0,1.2375948239663424,36.683552301413435,0.7517985230225246,100,2.8454712999364515,0.5652009368111002,4.0,4.0,1.1545287000635485,3.4347990631889,4.589327763252449,247.07365036010742
4.0,1.2487851172870654,36.683552301413435,0.7579325923036565,100,2.8971612595974596,0.5744617326585414,4.0,4.0,1.1028387404025404,3.4255382673414587,4.528377007743999,862.6613616943359
4.0,1.2598314889515057,36.683552301413435,0.764077622836591,100,2.948642757444766,0.5838145324996749,4.0,4.0,1.051357242555234,3.416185467500325,4.467542710055559,866.9764995574951
4.0,1.2707382551427095,36.683552301413435,0.7702315323476737,100,2.999918451204936,0.5932565328062421,4.0,4.0,1.0000815487950638,3.406743467193758,4.406825015988822,867.5060272216797
4.0,1.2815095219478336,36.683552301413435,0.7763923781012866,100,3.0509909196687044,0.6027850447653358,4.0,4.0,0.9490090803312956,3.397214955234664,4.34622403556596,839.1945362091064
4.0,1.2921491993920966,36.683552301413435,0.7825583476467495,100,3.1018626664967526,0.6123974880742867,4.0,4.0,0.8981373335032474,3.387602511925713,4.28573984542896,843.5113430023193
