qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
3.7017965546761893,3.615968034366906,3.2688056498218288,6.0,-2.7311943501781712,926,-2.74,89,0.89,927,-2.73,0,False
3.3007096120067994,3.605238933145755,3.249439024918645,6.0,-2.750560975081355,927,-2.73,79,0.79,925,-2.75,0,False
3.8887816001144992,3.6148906918413215,3.2668569433219217,6.0,-2.7331430566780783,925,-2.75,93,0.93,927,-2.73,0,False
3.3112211893579846,3.6045528746311595,3.2482023616707827,6.0,-2.7517976383292173,927,-2.73,79,0.79,925,-2.75,0,False
3.9008082481322806,3.614638563420755,3.266401175703642,6.0,-2.733598824296358,925,-2.75,93,0.93,927,-2.73,0,False
3.3295238618490655,3.6049324858063394,3.248886435039362,6.0,-2.751113564960638,927,-2.73,79,0.79,925,-2.75,0,False
3.9206652509040842,3.6156790361891638,3.268281799624308,6.0,-2.731718200375692,925,-2.75,93,0.93,927,-2.73,0,False
3.345923619292178,3.6064989817712445,3.2517104987164616,6.0,-2.7482895012835384,927,-2.73,79,0.79,925,-2.75,0,False
3.9405261220368035,3.6178622913768046,3.272229861922382,6.0,-2.727770138077618,925,-2.75,93,0.93,927,-2.73,0,False
3.3586593933274416,3.6090469345671057,3.2563066424589007,6.0,-2.7436933575410993,927,-2.73,79,0.79,926,-2.74,0,False
3.773879142008872,3.6146553628318787,3.2664323242491333,6.0,-2.7335676757508667,926,-2.74,89,0.89,927,-2.73,0,False
3.3638650707590503,3.6061194964176915,3.2510261000978957,6.0,-2.7489738999021043,927,-2.73,79,0.79,925,-2.75,0,False
3.9610697693548467,3.6181945323513935,3.2728307695982086,6.0,-2.7271692304017914,925,-2.75,93,0.93,927,-2.73,0,False
3.3619185585551823,3.6094795495270646,3.2570873329376986,6.0,-2.7429126670623014,927,-2.73,79,0.79,926,-2.74,0,False
3.7929581744871514,3.615721032806141,3.2683585104690165,6.0,-2.7316414895309835,926,-2.74,89,0.89,927,-2.73,0,False
3.3638775031005173,3.6071517076739883,3.2528875111729803,6.0,-2.7471124888270197,927,-2.73,79,0.79,925,-2.75,0,False
3.961084835957705,3.6191888286746465,3.274629802562599,6.0,-2.725370197437401,925,-2.75,93,0.93,927,-2.73,0,False
