x1,qe,vc,x2,vs,diff1,diff2
8.870000000000001,1.18,72.0,3.2,97.0,-0.9350286427590948,0.7238264393413063
7.05,2.84,25.0,3.17,69.0,0.46581570099633574,0.038025037827615016
9.540000000000001,2.5,40.0,10.48,64.0,0.008896531340512936,0.12302754635381596
4.0600000000000005,2.5300000000000002,21.0,12.32,32.0,0.5178586335254289,-0.3759686302131957
9.41,2.08,86.0,4.0,40.0,-0.955579625831481,1.3269916748615014
3.46,3.61,18.0,6.890000000000001,7.0,0.9056536058432219,0.16728039705933018
9.83,3.08,26.0,7.930000000000001,66.0,0.44724018311852376,-0.0632017997664791
7.5,1.71,31.0,1.36,89.0,0.0037028990778411597,0.19477468987411695
1.17,0.58,31.0,11.85,81.0,-0.027086674674533073,-0.6511103905752567
11.43,3.5,22.0,8.61,42.0,0.5700000000000003,0.08633655021079178
11.540000000000001,3.49,24.0,6.36,28.0,0.4599999999999991,0.29393551399249684
12.69,3.1,72.0,1.52,8.0,-1.1499439111780045,1.5133389634703676
5.0200000000000005,2.88,55.0,0.23,38.0,0.12498129680221925,0.6871694875401664
6.0600000000000005,2.34,93.0,2.74,68.0,-0.6591610248772,0.999645841905461
4.12,3.06,36.0,9.68,60.0,0.4862121675700868,-0.10899893245851722
12.450000000000001,3.71,15.0,11.36,51.0,-0.45000000000000107,-0.2065171079808632
11.75,3.5100000000000002,35.0,2.6,35.0,0.25,0.5704867251937373
9.19,2.57,53.0,7.72,8.0,-0.195646939967137,0.9261879020485813
11.47,3.63,56.0,10.52,59.0,-0.04968784950449212,0.5776155902230311
6.24,0.59,74.0,10.0,88.0,-0.9262366661689603,0.22681460305146928
10.14,1.18,35.0,6.84,48.0,-0.32222787625685356,0.2933405043214101
10.8,0.8,30.0,12.280000000000001,78.0,-0.36098498062642115,-0.4657545689312048
3.72,1.24,28.0,11.41,29.0,0.048858050201214365,0.03252691606513558
10.36,0.86,52.0,2.88,47.0,-0.7577900198896046,0.7574241351856714
6.37,2.64,67.0,6.25,30.0,-0.22246535668317602,0.8038019600215058
8.15,3.86,15.0,5.49,79.0,0.9310863977481567,-0.29385517885208756
1.99,1.41,37.0,8.38,40.0,0.10988419073707134,-0.029887476764567822
4.0600000000000005,3.6,64.0,10.120000000000001,14.0,0.3038834716111136,0.6825802078416547
8.84,3.39,36.0,5.22,85.0,0.3831597271822442,0.06881603066382436
5.16,0.52,42.0,0.74,33.0,-0.42132032401541064,0.47930927007380486
0.46,1.1400000000000001,91.0,0.74,33.0,-0.024047627081264733,0.282470083984081
8.92,1.78,91.0,7.5600000000000005,30.0,-1.0885917164196925,1.3649045201803052
12.200000000000001,1.48,32.0,4.34,50.0,-0.38213958358835143,0.3588347314447633
2.73,3.89,16.0,8.76,27.0,1.035534457474521,-0.06626634874403514
6.46,2.38,17.0,4.84,76.0,0.4688408087401328,-0.23999643613504684
5.11,0.55,50.0,7.11,90.0,-0.5161728128081551,-0.06400380521752602
6.91,2.18,58.0,6.91,76.0,-0.2624376223794789,0.3104725147605638
4.89,3.0500000000000003,91.0,5.61,18.0,-0.28561800950907923,1.0954445848021077
5.83,2.25,6.0,2.64,52.0,0.6102472306796649,-0.16643169475163688
6.2700000000000005,1.84,3.0,4.82,74.0,0.5270761842255896,-0.4474913179262323
2.15,2.31,100.0,4.5200000000000005,3.0,-0.17495939077561484,0.8721765850819745
7.75,3.67,41.0,9.96,18.0,0.42376776476105604,0.545107721350579
2.2,0.36,21.0,1.49,16.0,-0.080372853462499,0.13015729999534664
8.620000000000001,2.89,97.0,2.56,19.0,-0.8323517882540177,1.6178154055580314
7.5,2.15,70.0,0.96,21.0,-0.5055656964535666,1.093087587609689
3.74,3.44,7.0,3.15,31.0,0.9850343762054319,-0.0798043726205333
4.3500000000000005,0.29,10.0,4.5,46.0,-0.039432483233368565,-0.17199375948661721
11.16,1.55,75.0,11.73,53.0,-1.043898250951596,0.2699999999999996
8.120000000000001,1.62,90.0,4.68,81.0,-1.0430872635757096,0.9631099353988004
2.44,3.41,40.0,2.87,6.0,0.6498565526424822,0.3878355800303943
11.64,2.24,1.0,12.58,88.0,0.35999999999999943,-1.3129185648180357
