qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
3.56,4.094256416164151,3.8011226921497583,6.0,-2.1988773078502417,984,-2.16,89,0.89,980,-2.2,0,False
3.92,3.7486729407832087,3.811996970415403,6.0,-2.188003029584597,980,-2.2,98,0.98,981,-2.19,0,False
3.68,3.973219319390991,3.7933677305196882,6.0,-2.2066322694803118,981,-2.19,92,0.92,979,-2.21,0,False
3.96,3.9350877497969727,3.7949502540765465,6.0,-2.2050497459234535,979,-2.21,99,0.99,979,-2.21,0,False
3.96,3.8225906777841714,3.8036746912799075,6.0,-2.1963253087200925,979,-2.21,99,0.99,980,-2.2,0,False
3.92,4.127462979351039,3.790485202849581,6.0,-2.209514797150419,980,-2.2,98,0.98,979,-2.21,0,False
3.96,3.7826250708250124,3.8017453979946065,6.0,-2.1982546020053935,979,-2.21,99,0.99,980,-2.2,0,False
3.92,4.2392111688342435,3.7814413548762333,6.0,-2.2185586451237667,980,-2.2,98,0.98,978,-2.22,0,False
3.8,3.961580243976709,3.7711750447627,6.0,-2.2288249552373,978,-2.22,95,0.95,977,-2.23,0,False
0.72,2.7111482597825174,3.645278948537226,6.0,-2.354721051462774,977,-2.23,18,0.18,965,-2.35,0,False
3.92,4.006425130320426,3.639783406232613,6.0,-2.360216593767387,965,-2.35,98,0.98,964,-2.36,0,False
3.76,4.108328938167139,3.617622241234825,6.0,-2.382377758765175,964,-2.36,94,0.94,962,-2.38,0,False
4.0,3.328894233991912,3.660169351881081,6.0,-2.339830648118919,962,-2.38,101,1.01,966,-2.34,0,False
4.0,3.197813083029092,3.7109888348262023,6.0,-2.2890111651737977,966,-2.34,101,1.01,971,-2.29,0,False
4.0,3.5954617104395887,3.736656946287033,6.0,-2.263343053712967,971,-2.29,100,1.0,974,-2.26,0,False
0.76,0.6577978316299512,3.7430621589013695,6.0,-2.2569378410986305,974,-2.26,19,0.19,974,-2.26,0,False
3.68,3.8633730897667626,3.7314139794774963,6.0,-2.2685860205225037,974,-2.26,92,0.92,973,-2.27,0,False
4.0,3.7552674224782545,3.746952021654362,6.0,-2.253047978345638,973,-2.27,101,1.01,975,-2.25,0,False
3.92,3.98534092667245,3.742799508628702,6.0,-2.257200491371298,975,-2.25,98,0.98,974,-2.26,0,False
3.68,3.7509266524654867,3.7382963643805,6.0,-2.2617036356195,974,-2.26,92,0.92,974,-2.26,0,False
3.68,4.010301868932733,3.7173008284112163,6.0,-2.2826991715887837,974,-2.26,92,0.92,972,-2.28,0,False
3.92,4.193264967168361,3.6999158929616534,6.0,-2.3000841070383466,972,-2.28,98,0.98,970,-2.3,0,False
4.0,3.5528146032809564,3.728285891606505,6.0,-2.271714108393495,970,-2.3,103,1.03,973,-2.27,0,False
4.0,3.2262560984991655,3.777297537900241,6.0,-2.222702462099759,973,-2.27,101,1.01,978,-2.22,0,False
3.8,3.6204087651762293,3.7886913740323718,6.0,-2.2113086259676282,978,-2.22,95,0.95,979,-2.21,0,False
3.96,3.478619416157019,3.8192105648470487,6.0,-2.1807894351529513,979,-2.21,99,0.99,982,-2.18,0,False
4.0,3.4932200573936476,3.851338160275003,6.0,-2.148661839724997,982,-2.18,101,1.01,985,-2.15,0,False
4.0,3.50735433327206,3.882567888269862,6.0,-2.117432111730138,985,-2.15,103,1.03,988,-2.12,0,False
4.0,3.5210407791955616,3.912928310165371,6.0,-2.087071689834629,988,-2.12,107,1.07,991,-2.09,0,False
3.84,3.5298738065978044,3.932585866873177,6.0,-2.067414133126823,991,-2.09,96,0.96,993,-2.07,0,False
4.0,3.5428541762113284,3.961561019692828,6.0,-2.038438980307172,993,-2.07,101,1.01,996,-2.04,0,False
3.8,0.8956675679612619,4.143700821478937,6.0,-1.8562991785210627,996,-2.04,95,0.95,1014,-1.86,0,False
3.96,3.711832234339478,4.159429770207124,6.0,-1.8405702297928759,1014,-1.86,99,0.99,1016,-1.84,0,False
3.76,4.305617046584672,4.124767094756321,6.0,-1.8752329052436787,1016,-1.84,94,0.94,1012,-1.88,0,False
3.92,4.410702672213349,4.093576563973596,6.0,-1.9064234360264036,1012,-1.88,98,0.98,1009,-1.91,0,False
4.0,4.358073099656293,4.070818706378522,6.0,-1.929181293621478,1009,-1.91,100,1.0,1007,-1.93,0,False
1.64,1.2947163951154064,4.092506055178442,6.0,-1.9074939448215584,1007,-1.93,41,0.41,1009,-1.91,0,False
4.0,3.8875334712790255,4.099640444407899,6.0,-1.9003595555921011,1009,-1.91,100,1.0,1010,-1.9,0,False
4.0,4.400250800414394,4.074198185780783,6.0,-1.9258018142192173,1010,-1.9,108,1.08,1007,-1.93,0,False
3.84,4.342749823644465,4.042243496624657,6.0,-1.957756503375343,1007,-1.93,96,0.96,1004,-1.96,0,False
3.36,3.9619936624227803,4.004031969062233,6.0,-1.9959680309377674,1004,-1.96,84,0.84,1000,-2.0,0,False
4.0,3.924326781526309,4.00883465688532,6.0,-1.9911653431146803,1000,-2.0,101,1.01,1001,-1.99,0,False
4.0,3.262408864341712,4.055519615617582,6.0,-1.9444803843824179,1001,-1.99,103,1.03,1006,-1.94,0,False
3.92,3.4757866026872417,4.083655951147479,6.0,-1.9163440488525207,1006,-1.94,98,0.98,1008,-1.92,0,False
4.0,3.9619501577279577,4.086070471704263,6.0,-1.9139295282957374,1008,-1.92,106,1.06,1009,-1.91,0,False
1.2,2.403049316316365,4.010173630639569,6.0,-1.989826369360431,1009,-1.91,30,0.3,1001,-1.99,0,False
4.0,3.4982076163483766,4.041964228767173,6.0,-1.9580357712328267,1001,-1.99,103,1.03,1004,-1.96,0,False
3.8,3.506251037014807,4.060573707982623,6.0,-1.9394262920173766,1004,-1.96,95,0.95,1006,-1.94,0,False
3.92,3.517249414539533,4.086087631303667,6.0,-1.9139123686963329,1006,-1.94,98,0.98,1009,-1.91,0,False
4.0,3.530039164916365,4.115857875896244,6.0,-1.8841421241037564,1009,-1.91,100,1.0,1012,-1.88,0,False
3.92,3.540337111993447,4.139907067169806,6.0,-1.8600929328301943,1012,-1.88,98,0.98,1014,-1.86,0,False
3.96,3.551386679877811,4.1657890222054546,6.0,-1.8342109777945454,1014,-1.86,99,0.99,1017,-1.83,0,False
3.28,3.5442439377232056,4.149051488281582,6.0,-1.8509485117184177,1017,-1.83,82,0.82,1015,-1.85,0,False
3.8,4.026124616983669,4.134701566060891,6.0,-1.8652984339391088,1015,-1.85,95,0.95,1013,-1.87,0,False
0.36,0.3659947738817059,4.134326373967854,6.0,-1.8656736260321463,1013,-1.87,9,0.09,1013,-1.87,0,False
4.0,4.300635593583373,4.115226645907906,6.0,-1.8847733540920943,1013,-1.87,109,1.09,1012,-1.88,0,False
3.92,4.405730068988691,4.084351593945928,6.0,-1.9156484060540722,1012,-1.88,98,0.98,1008,-1.92,0,False
4.0,4.35329486459341,4.06189700573855,6.0,-1.9381029942614498,1008,-1.92,106,1.06,1006,-1.94,0,False
